,FighterID,URL,Age,Height,Weight,Experience,Arm span,Leg span,Accuracy strikes,Accented strikes,Missed strikes,Number takedowns,Strike protection,Takedown protection,Wins,Losses,Drafts,KO/TKO
99,108592,https://ufc.ru/athlete/andre-muniz,35.0,182.88,93.19,4.0,193.04,104.14,58.0,3.82,3.09,0.62,52.0,76.0,14.0,3.0,1.0,10.0
100,202021,https://ufc.ru/athlete/dzhiri-prokhazka,35.0,190.5,97.5,12.0,193.04,114.3,47.0,5.46,4.02,0.4,59.0,60.0,19.0,7.0,1.0,12.0
101,181766,https://ufc.ru/athlete/magomed-ankalaev,31.0,190.5,118.14,5.0,213.36,114.3,49.0,8.72,4.33,0.0,57.0,75.0,18.0,1.0,0.0,15.0
102,788520,https://ufc.ru/athlete/alex-pereira,33.0,193.04,116.09,4.0,205.74,106.68,60.0,5.08,2.25,0.61,63.0,45.0,11.0,2.0,0.0,5.0
103,151983,https://ufc.ru/athlete/jan-blachowicz,40.0,195.58,106.12,12.0,203.2,99.06,53.0,4.82,3.82,1.86,55.0,68.0,20.0,4.0,0.0,15.0
104,789498,https://ufc.ru/athlete/aleksandar-rakic,30.0,195.58,117.0,3.0,198.12,111.76,66.0,7.65,2.9,3.7,65.0,100.0,13.0,3.0,0.0,10.0
105,628839,https://ufc.ru/athlete/dzhonni-uolker,32.0,193.04,119.04,7.0,203.2,116.84,50.0,3.56,1.89,5.93,60.0,33.0,17.0,4.0,0.0,12.0
106,922579,https://ufc.ru/athlete/nikita-krylov,30.0,187.96,120.63,6.0,190.5,100.33,50.0,4.1,4.46,0.0,45.0,52.0,15.0,5.0,0.0,14.0
107,719344,https://ufc.ru/athlete/entoni-smit,28.0,190.5,117.23,4.0,198.12,111.76,51.0,3.79,2.84,5.05,56.0,70.0,16.0,3.0,0.0,7.0
108,131226,https://ufc.ru/athlete/volkan-oezdemir,34.0,200.66,117.0,7.0,203.2,120.65,57.0,4.89,3.0,0.51,54.0,73.0,36.0,10.0,0.0,24.0
109,761848,https://ufc.ru/athlete/ryan-spann,31.0,190.5,104.76,2.0,200.66,110.49,64.0,3.81,0.3,6.4,25.0,50.0,19.0,2.0,0.0,7.0
110,706512,https://ufc.ru/athlete/khalil-rauntri-ml,38.0,190.5,119.5,9.0,200.66,110.49,51.0,2.6,2.59,0.59,41.0,52.0,27.0,11.0,0.0,22.0
111,353517,https://ufc.ru/athlete/andre-muniz-0,37.0,190.5,111.56,7.0,198.12,116.84,48.0,3.55,3.35,1.39,56.0,79.0,24.0,8.0,0.0,9.0
112,849570,https://ufc.ru/athlete/dominik-reyes,35.0,187.96,120.18,4.0,198.12,104.14,46.0,2.81,3.15,0.0,45.0,74.0,13.0,5.0,0.0,12.0
113,646176,https://ufc.ru/athlete/alonzo-menifield,38.0,185.42,118.82,9.0,190.5,109.22,57.0,3.61,2.96,1.34,52.0,59.0,21.0,10.0,1.0,14.0
