,Division,FighterID,Name,URL,Age,Height,Weight,Experience,Arm span,Leg span,Accuracy strikes,Accented strikes,Missed strikes,Number takedowns,Strike protection,Takedown protection,Wins,Losses,Drafts,KO/TKO
141,Женский минимальный вес,367387,Луана Пиньеро,https://ufc.ru/athlete/pet-sabatini-1,30.0,158.75,52.38,2.0,158.75,96.52,40.0,3.86,3.67,2.83,64.0,50.0,11.0,1.0,0.0,2.0
142,Женский минимальный вес,998149,Мишель Уотерсон,https://ufc.ru/athlete/mishel-uoterson,37.0,160.02,52.6,8.0,157.47,90.17,47.0,3.63,4.01,1.4,51.0,72.0,18.0,11.0,0.0,3.0
143,Женский минимальный вес,532806,Табата Риччи,https://ufc.ru/athlete/sem-khyuz-3,28.0,154.94,54.87,2.0,154.94,91.44,37.0,4.12,4.45,4.23,61.0,67.0,9.0,1.0,0.0,1.0
144,Женский минимальный вес,259243,Анджела Хилл,https://ufc.ru/athlete/andzhela-khill,38.0,160.02,51.92,9.0,163.83,97.79,50.0,5.46,4.97,0.54,62.0,76.0,15.0,13.0,0.0,5.0
145,Женский наилегчайший вес,411574,Валентина Шевченко,https://ufc.ru/athlete/valentina-shevchenko,34.0,165.1,56.46,8.0,170.18,96.52,53.0,3.29,1.99,2.57,64.0,72.0,23.0,4.0,0.0,8.0
146,Женский наилегчайший вес,586994,Эрин Бланчфилд,https://ufc.ru/athlete/erin-blanchfield,24.0,162.56,62.13,2.0,167.64,91.44,53.0,5.58,3.32,2.86,62.0,83.0,12.0,1.0,0.0,2.0
147,Женский наилегчайший вес,432550,Манон Фиро,https://ufc.ru/athlete/manon-firot,33.0,170.18,63.03,2.0,165.1,96.52,53.0,5.3,3.48,0.33,51.0,65.0,11.0,1.0,0.0,6.0
148,Женский наилегчайший вес,458303,Тайла Сантос,https://ufc.ru/athlete/tayla-santos,30.0,167.64,60.4,4.0,172.72,95.25,48.0,3.39,2.64,2.0,58.0,86.0,19.0,3.0,0.0,10.0
149,Женский наилегчайший вес,307520,Кэтлин Чукагян,https://ufc.ru/athlete/ketlin-chukagyan,34.0,175.26,57.82,7.0,172.72,106.68,35.0,4.59,4.41,0.27,63.0,54.0,18.0,5.0,0.0,2.0
150,Женский наилегчайший вес,466495,Джессика Андрадэ,https://ufc.ru/athlete/dzhessika-andrade,31.0,156.21,59.86,10.0,157.47,88.9,51.0,6.68,5.34,2.54,54.0,70.0,24.0,12.0,0.0,9.0
151,Женский наилегчайший вес,155408,Лорен Мёрфи,https://ufc.ru/athlete/loren-myorfi,39.0,165.1,56.91,9.0,170.18,96.52,39.0,4.05,5.25,1.03,55.0,70.0,16.0,6.0,0.0,8.0
152,Женский наилегчайший вес,252701,Мэйси Барбер,https://ufc.ru/athlete/meysi-barber,25.0,165.1,60.86,5.0,165.1,96.52,53.0,4.6,2.72,1.14,55.0,45.0,13.0,2.0,0.0,6.0
153,Женский наилегчайший вес,976110,Дженнифер Майа,https://ufc.ru/athlete/jennifer-maia,34.0,162.56,56.68,5.0,162.56,96.52,39.0,4.5,4.78,0.27,56.0,57.0,21.0,9.0,1.0,4.0
154,Женский наилегчайший вес,731688,Вивьен Арауджо,https://ufc.ru/athlete/viviane-araujo,36.0,162.56,57.14,4.0,172.72,92.71,47.0,4.63,5.45,1.81,56.0,83.0,11.0,5.0,0.0,3.0
156,Женский наилегчайший вес,443010,Кейси О'Неилл,https://ufc.ru/athlete/keysi-oneill,25.0,167.64,56.68,2.0,175.26,93.98,56.0,8.77,5.9,1.96,58.0,71.0,9.0,1.0,0.0,3.0
157,Женский наилегчайший вес,529599,Наталья Силва,https://ufc.ru/athlete/keylen-born-1,26.0,162.56,56.46,1.0,165.1,91.44,49.0,5.2,2.23,0.68,66.0,93.0,16.0,5.0,1.0,5.0
158,Женский наилегчайший вес,418479,Трэйси Кортез,https://ufc.ru/athlete/treysi-kortez,29.0,165.1,56.68,4.0,166.37,97.79,55.0,3.56,2.32,2.8,59.0,71.0,10.0,1.0,0.0,1.0
160,Женский легчайший вес,137486,Джулианна Пенья,https://ufc.ru/athlete/dzhulianna-penya,33.0,167.64,60.99,10.0,175.26,99.06,48.0,3.16,2.3,1.94,51.0,23.0,12.0,5.0,0.0,3.0
161,Женский легчайший вес,583848,Ракэль Пеннингтон,https://ufc.ru/athlete/rakel-pennington,34.0,170.18,60.99,10.0,171.45,93.98,51.0,4.02,3.34,0.93,62.0,63.0,15.0,9.0,0.0,1.0
162,Женский легчайший вес,295848,Майра Буэно Сильва,https://ufc.ru/athlete/mayra-bueno-silva,31.0,167.64,63.03,5.0,168.91,99.06,55.0,4.16,4.71,0.35,57.0,69.0,11.0,2.0,1.0,1.0
163,Женский легчайший вес,450376,Кетлин Виера,https://ufc.ru/athlete/ketlin-viera,31.0,172.72,68.93,7.0,172.72,100.33,41.0,3.04,3.92,1.51,52.0,93.0,14.0,3.0,0.0,2.0
164,Женский легчайший вес,627054,Ирэн Алдана,https://ufc.ru/athlete/iren-aldana,35.0,175.26,61.22,7.0,173.99,97.79,39.0,4.86,5.71,0.17,59.0,76.0,14.0,7.0,0.0,8.0
165,Женский легчайший вес,417500,Холли Холм,https://ufc.ru/athlete/kholli-kholm,41.0,172.72,61.45,8.0,175.26,96.52,41.0,3.21,2.79,0.9,56.0,79.0,15.0,7.0,0.0,8.0
166,Женский легчайший вес,236311,Пэнни Кианзад,https://ufc.ru/athlete/pannie-kianzad,31.0,170.18,61.67,5.0,172.72,99.06,49.0,4.87,3.75,0.35,54.0,71.0,17.0,7.0,0.0,3.0
167,Женский легчайший вес,831524,Яна Сантос,https://ufc.ru/athlete/yana-kunickaya,33.0,167.64,68.48,5.0,173.99,101.6,57.0,4.16,3.03,1.11,50.0,43.0,14.0,8.0,0.0,7.0
168,Женский легчайший вес,737999,Кэрол Роса,https://ufc.ru/athlete/kerol-rosa,28.0,165.1,71.2,4.0,171.45,91.44,55.0,5.43,4.17,1.38,49.0,68.0,17.0,5.0,0.0,4.0
169,Женский легчайший вес,454140,Мэйси Чиассон,https://ufc.ru/athlete/macy-chiasson,31.0,180.34,63.26,5.0,182.88,106.68,45.0,3.64,2.61,2.17,47.0,64.0,9.0,3.0,0.0,3.0
170,Женский легчайший вес,804943,Норма Дюмонт Виана,https://ufc.ru/athlete/norma-dyumont-viana,32.0,170.18,70.29,3.0,170.18,97.79,50.0,3.41,1.99,1.39,67.0,72.0,10.0,2.0,0.0,0.0
171,Женский легчайший вес,493941,Миша Тэйт,https://ufc.ru/athlete/misha-teyt,36.0,167.64,57.05,11.0,165.1,95.25,44.0,2.61,3.1,1.88,52.0,55.0,19.0,9.0,0.0,4.0
173,Женский легчайший вес,953063,Джозиане Нунес,https://ufc.ru/athlete/karlos-olberg-0,29.0,157.47,65.98,2.0,170.18,93.98,45.0,7.22,5.85,0.0,53.0,70.0,10.0,1.0,0.0,7.0
174,Женский легчайший вес,706977,Челси Чендлер,https://ufc.ru/athlete/chelsi-chedler,32.0,173.99,69.84,1.0,172.72,101.6,46.0,3.12,3.06,0.78,43.0,33.0,5.0,2.0,0.0,2.0
