,Division,FighterID,Name,URL,Age,Height,Weight,Experience,Arm span,Leg span,Accuracy strikes,Accented strikes,Missed strikes,Number takedowns,Strike protection,Takedown protection,Wins,Losses,Drafts,KO/TKO
35,Легчайший вес,372921,Умар Нурмагомедов,https://ufc.ru/athlete/umar-nurmagomedov,27.0,172.72,61.22,2.0,175.26,99.06,70.0,4.85,0.73,4.28,75.0,100.0,16.0,0.0,0.0,1.0
36,Легчайший вес,319133,Рики Симон,https://ufc.ru/athlete/riki-saymon,30.0,167.64,61.67,6.0,175.26,96.52,44.0,3.01,3.23,5.84,63.0,75.0,20.0,4.0,0.0,6.0
38,Легчайший вес,148852,Эдриен Янез,https://ufc.ru/athlete/edrien-yanez,29.0,170.18,61.45,3.0,177.8,96.52,41.0,6.75,5.89,0.0,59.0,100.0,16.0,4.0,0.0,10.0
40,Полулегкий вес,388087,Макс Холлоуэй,https://ufc.ru/athlete/maks-kholluey,31.0,180.34,73.56,11.0,175.26,106.68,48.0,7.17,4.75,0.27,60.0,84.0,25.0,7.0,0.0,11.0
41,Полулегкий вес,696920,Яир Родригез,https://ufc.ru/athlete/yair-rodrigez,30.0,180.34,70.61,9.0,180.34,105.41,46.0,4.63,4.07,0.73,52.0,59.0,16.0,4.0,0.0,6.0
42,Полулегкий вес,443616,Брайэн Ортега,https://ufc.ru/athlete/brian-ortega,32.0,172.72,66.21,9.0,175.26,99.06,39.0,4.19,6.66,0.95,50.0,56.0,15.0,3.0,0.0,3.0
43,Полулегкий вес,857500,Арнольд Аллен,https://ufc.ru/athlete/arnold-allen,29.0,172.72,66.21,8.0,177.8,99.06,41.0,3.34,2.86,1.12,62.0,76.0,19.0,2.0,0.0,7.0
44,Полулегкий вес,857000,Илия Топурия,https://ufc.ru/athlete/iliya-topuriya,26.0,170.18,74.37,3.0,175.26,93.98,46.0,4.44,3.05,2.19,67.0,93.0,14.0,0.0,0.0,4.0
45,Полулегкий вес,508325,Джош Эмметт,https://ufc.ru/athlete/dzhosh-emmet,38.0,168.91,72.56,7.0,177.8,100.33,36.0,4.07,4.66,0.92,61.0,47.0,18.0,4.0,0.0,6.0
46,Полулегкий вес,127410,Келвин Кэттер,https://ufc.ru/athlete/kelvin-kattar,35.0,180.34,66.21,6.0,182.88,101.6,40.0,5.12,7.1,0.42,55.0,91.0,23.0,7.0,0.0,11.0
48,Полулегкий вес,943059,Мовсар Евлоев,https://ufc.ru/athlete/movsar-evloev,29.0,170.18,65.75,4.0,184.15,91.44,49.0,4.57,2.74,4.71,62.0,71.0,17.0,0.0,0.0,3.0
49,Полулегкий вес,462093,Чэн Сон Джунг,https://ufc.ru/athlete/chen-son-dzhon,36.0,170.18,73.74,12.0,182.88,97.79,41.0,3.93,4.52,0.7,52.0,73.0,17.0,8.0,0.0,6.0
50,Полулегкий вес,238790,Брайс Митчелл,https://ufc.ru/athlete/bryce-mitchell,28.0,177.8,66.21,5.0,177.8,101.6,59.0,2.48,1.71,3.26,57.0,33.0,15.0,2.0,0.0,0.0
51,Полулегкий вес,339197,Содик Юсуфф,https://ufc.ru/athlete/sodik-yusuff,30.0,175.26,65.98,5.0,180.34,101.6,49.0,5.29,3.65,0.18,57.0,70.0,13.0,2.0,0.0,6.0
52,Полулегкий вес,926313,Дэн Иге,https://ufc.ru/athlete/den-idzh,31.0,170.18,65.98,6.0,180.34,96.52,46.0,3.96,3.69,1.15,58.0,56.0,17.0,6.0,0.0,5.0
53,Полулегкий вес,305301,Эдсон Барбоза,https://ufc.ru/athlete/edson-barbosa,37.0,180.34,66.21,13.0,190.5,104.14,44.0,4.0,4.12,0.38,59.0,76.0,23.0,11.0,0.0,14.0
54,Полулегкий вес,700383,Алекс Касэрес,https://ufc.ru/athlete/aleks-kaseres,35.0,177.8,72.01,12.0,186.69,104.14,51.0,4.16,2.93,0.56,63.0,65.0,21.0,14.0,0.0,4.0
55,Легкий вес,796214,Чарльз Оливейра,https://ufc.ru/athlete/charlz-oliveyra,33.0,177.8,69.84,13.0,187.96,104.14,54.0,3.54,3.19,2.32,52.0,56.0,34.0,9.0,0.0,10.0
56,Легкий вес,937560,Джастин Гейджи,https://ufc.ru/athlete/dzhastin-getzhi,34.0,180.34,70.74,6.0,177.8,101.6,60.0,7.35,7.5,0.13,54.0,75.0,26.0,4.0,0.0,20.0
57,Легкий вес,195429,Дастин Порье,https://ufc.ru/athlete/dastin-pore,34.0,175.26,70.29,12.0,182.88,102.87,51.0,5.49,4.3,1.36,54.0,64.0,29.0,8.0,0.0,15.0
58,Легкий вес,254911,Бенэил Дариуш,https://ufc.ru/athlete/beneil-dariush,34.0,177.8,70.74,9.0,182.88,102.87,49.0,3.79,2.63,1.91,58.0,81.0,22.0,5.0,1.0,5.0
59,Легкий вес,825659,Майкл Чендлер,https://ufc.ru/athlete/maykl-chendler,37.0,172.72,70.65,2.0,181.61,95.25,46.0,4.89,4.58,2.17,46.0,71.0,23.0,8.0,0.0,11.0
61,Легкий вес,960499,Матеуш Гамрот,https://ufc.ru/athlete/mateush-gemrot,32.0,177.8,70.74,3.0,179.07,99.06,51.0,3.03,3.23,4.54,61.0,91.0,22.0,2.0,0.0,7.0
62,Легкий вес,957192,Арман Царукян,https://ufc.ru/athlete/arman-carukyan,26.0,170.18,70.52,4.0,184.15,100.33,48.0,3.82,1.91,3.43,54.0,75.0,20.0,3.0,0.0,8.0
